DISTRICT_NUMBER|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1|2011|56|59|47.2|59.4|10774|13873
470|1|2012|56|64|43.5|59.1|11068|14177
470|1|2013|53|60|45.4|59.4|11361|14629
470|2|2011|53|28|68|70.7|10555|13665
470|2|2012|56|28|69.2|71.5|10858|13981
470|2|2013|52|23|70.4|72.3|11190|14447
1040|1|2011|56|48|53|70.8|9818|12820
1040|1|2012|53|53|50.4|69.8|9958|12954
1040|1|2013|55|48|54.2|70.7|10038|13137
1040|2|2011|55|19|79.9|86.2|9786|12806
1040|2|2012|52|19|78.7|85.4|9907|12939
1040|2|2013|53|15|81.1|85.3|10002|13116
2690|1|2011|34|66|24.1|44.8|7726|10330
2690|1|2012|38|75|22.2|42.5|7771|10496
2690|1|2013|39|71|25.2|43.5|7772|10187
2690|2|2011|39|35|53.9|63|7706|10319
2690|2|2012|39|36|52.2|61.4|7766|10479
2690|2|2013|41|32|56.7|63.5|7749|10151
