DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1|2010|10|48|87|36.9|35|1473|1662
470|1|2010|4|50|44|54.7|74.8|1597|1788
470|1|2010|5|56|49|56|68.8|1544|1709
470|1|2010|6|63|60|56.8|66.5|1464|1652
470|1|2010|7|59|65|47.3|60.6|1500|1667
470|1|2010|8|62|73|41.9|52.1|1636|1819
470|1|2010|9|53|80|36.9|43|1560|1845
470|1|2011|10|51|85|39.2|37.3|1582|1734
470|1|2011|4|48|57|41.7|71.4|1597|1783
470|1|2011|5|55|59|45.6|67.9|1657|1834
470|1|2011|6|62|63|50.4|65.1|1561|1759
470|1|2011|7|56|72|40.1|51.8|1525|1701
470|1|2011|8|63|66|50.6|57.3|1531|1677
470|1|2011|9|55|78|36.8|45.4|1615|1878
470|1|2012|10|49|88|36.7|35.4|1633|1767
470|1|2012|4|45|47|49.2|71.6|1673|1886
470|1|2012|5|53|53|52|64.6|1652|1827
470|1|2012|6|57|58|50.2|64.7|1696|1924
470|1|2012|7|58|65|45.2|60.4|1607|1766
470|1|2012|8|56|66|42.7|57.4|1572|1736
470|1|2012|9|53|78|41.4|46.9|1528|1739
470|2|2010|10|51|5|76.1|74.2|1474|1662
470|2|2010|4|51|39|60.9|63.9|1406|1777
470|2|2010|5|53|37|62.8|70.2|1521|1710
470|2|2010|6|53|33.5|66.3|73.2|1466|1653
470|2|2010|7|56|29|70|69.3|1500|1668
470|2|2010|8|54|24|70.1|69.2|1634|1820
470|2|2010|9|49|14|69.5|69.9|1554|1845
470|2|2011|10|55|8|74.2|72.7|1579|1734
470|2|2011|4|49|37|60.1|65.8|1399|1777
470|2|2011|5|56|36|64.9|70.3|1651|1833
470|2|2011|6|56|30|68.7|71.8|1559|1759
470|2|2011|7|60|29|71.2|72.1|1526|1702
470|2|2011|8|58|23|72.5|71.2|1532|1677
470|2|2011|9|56|16|72.4|73.4|1612|1878
470|2|2012|10|46|3|77.6|76.7|1631|1766
470|2|2012|4|54|32|65.1|65.9|1488|1880
470|2|2012|5|54|35|65.5|69.7|1648|1829
470|2|2012|6|55|31|67.9|73.3|1702|1929
470|2|2012|7|55|22|71.8|70.5|1622|1787
