DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|ETHNICITY|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1|2010|10|1|30|99|14.3|12.5|7|8
470|1|2010|10|2|61|51|48.9|50|45|50
470|1|2010|10|3|50.5|99|12.5|10.5|16|20
470|1|2010|10|4|44|99|13.2|12.1|364|418
470|1|2010|10|5|49|68|45.2|43.1|1041|1166
470|1|2010|4|1|34.5|46.5|40|72.7|10|11
470|1|2010|4|2|61|38.5|78.1|90.1|64|71
470|1|2010|4|3|54|48|52.9|76.2|17|21
470|1|2010|4|4|49|55|43.7|56.1|471|516
470|1|2010|4|5|49|39|58.4|82.1|1035|1169
470|1|2010|5|1|52.5|38.5|58.3|61.5|12|13
470|1|2010|5|2|62|42|77.6|78.9|49|57
470|1|2010|5|3|46|59|33.3|45.5|15|22
470|1|2010|5|4|51|63|40.6|46.8|421|460
470|1|2010|5|5|57|44|61.4|77.5|1047|1157
470|1|2010|6|1|62.5|56|66.7|85.7|12|14
470|1|2010|6|2|73|49|71.4|78.1|56|64
470|1|2010|6|3|63|60|55.6|68.8|27|32
470|1|2010|6|4|53.5|69|35.6|45.4|382|427
470|1|2010|6|5|67|54|64|73.7|987|1115
470|1|2010|7|1|60|69.5|42.9|64.3|14|15
470|1|2010|7|2|74|51|66.7|76.9|48|52
470|1|2010|7|3|57|72.5|21.1|44|19|26
470|1|2010|7|4|54|81.5|26.5|33.3|393|449
470|1|2010|7|5|60|56|55|71.1|1026|1125
470|1|2010|8|1|61.5|74|43.8|50|16|18
470|1|2010|8|2|68|51|60.4|68.3|53|60
470|1|2010|8|3|53|94|13|42.3|23|26
470|1|2010|8|4|61.5|95|21.3|26.9|436|487
470|1|2010|8|5|62|65.5|49.7|61.5|1108|1228
470|1|2010|9|1|76|89|41.2|40|17|20
470|1|2010|9|2|61|50|55.1|60.4|49|53
470|1|2010|9|3|39|83|25|30|16|20
470|1|2010|9|4|48|99|11.8|15.8|389|456
470|1|2010|9|5|54|66|45.1|52|1089|1296
470|1|2011|10|1|66|98|36.8|33.3|19|21
470|1|2011|10|2|65|47|48.9|47.1|45|51
470|1|2011|10|3|76|99|40|33.3|15|18
470|1|2011|10|4|49|99|12.7|11.5|353|402
470|1|2011|10|5|50|65|47|45.4|1150|1242
470|1|2011|4|1|56|61|30.8|57.1|13|14
470|1|2011|4|2|70|52|61.6|84.1|73|82
470|1|2011|4|3|33.5|54.5|16.7|50|12|14
470|1|2011|4|4|42|66|25.6|50.7|449|493
470|1|2011|4|5|50|54|47.6|79.6|1050|1180
470|1|2011|5|1|40|63|22.2|60|9|10
470|1|2011|5|2|60.5|50|65|86.4|60|67
470|1|2011|5|3|34|61|29.4|77.3|17|22
470|1|2011|5|4|49|72.5|26.7|46.3|483|530
470|1|2011|5|5|58|53|53.4|76.3|1088|1205
470|1|2011|6|1|63|56|66.7|76.5|12|17
470|1|2011|6|2|74|50|72.5|80|51|55
470|1|2011|6|3|59.5|73.5|38.9|42.9|18|21
470|1|2011|6|4|54|80|27.3|38.5|421|471
470|1|2011|6|5|64|56|58.5|75|1059|1195
470|1|2011|7|1|56|61|53.8|57.1|13|14
470|1|2011|7|2|76|61|59.6|74.6|57|67
470|1|2011|7|3|36|71|22.2|48.3|27|29
470|1|2011|7|4|50|88|19.4|26.9|382|424
470|1|2011|7|5|58|66|46.9|59.6|1046|1167
470|1|2011|8|1|57|71|33.3|52.6|15|20
470|1|2011|8|2|64|38|59.1|66|44|47
470|1|2011|8|3|61|84|21.7|33.3|23|30
470|1|2011|8|4|54|92|25.8|28.9|407|440
470|1|2011|8|5|66|52|60.8|68.6|1042|1140
470|1|2011|9|1|77.5|75|37.5|44.4|16|18
470|1|2011|9|2|61|44|48.9|57.1|47|57
470|1|2011|9|3|49|88|10.5|30.4|19|23
470|1|2011|9|4|49|99|15.2|20.4|422|486
470|1|2011|9|5|57|66|45|54.5|1111|1294
470|1|2012|10|1|39|98|13.3|12.5|15|16
470|1|2012|10|2|60.5|42|51.9|51.7|54|58
470|1|2012|10|3|68.5|98|16.7|20.8|18|24
470|1|2012|10|4|44|99|12|11.2|391|421
470|1|2012|10|5|50|66|44.9|43.3|1155|1248
470|1|2012|4|1|32|38|35.3|61.9|17|21
470|1|2012|4|2|56|31|71.4|89.8|49|59
470|1|2012|4|3|40|48|61.9|75|21|24
470|1|2012|4|4|36|59|32.4|50.8|485|531
470|1|2012|4|5|48|41|55.6|79.6|1101|1251
470|1|2012|5|1|32|68|15.4|56.2|13|16
470|1|2012|5|2|60.5|34|71.8|81.9|78|83
470|1|2012|5|3|45|70|27.3|42.9|11|14
470|1|2012|5|4|50|71|34.1|41.8|463|507
470|1|2012|5|5|54|42|58.9|73.4|1087|1207
470|1|2012|6|1|43|73|36.4|25|11|12
470|1|2012|6|2|67|46.5|67.2|81.7|64|71
470|1|2012|6|3|44|61|52.6|57.1|19|21
470|1|2012|6|4|50|74|28.6|39|486|538
470|1|2012|6|5|61|49|58.8|75|1116|1282
470|1|2012|7|1|54.5|56.5|37.5|56.2|16|16
470|1|2012|7|2|75|39|66|80.7|53|57
470|1|2012|7|3|54.5|77|35.7|47.4|14|19
470|1|2012|7|4|49|81|20.3|32.1|428|474
470|1|2012|7|5|61|56|54.1|70.9|1096|1200
470|1|2012|8|1|52|37|66.7|72.7|9|11
470|1|2012|8|2|63|44|66.2|75.4|65|69
470|1|2012|8|3|50|57|44.4|51.6|27|31
470|1|2012|8|4|50|92.5|18.5|29.2|384|431
470|1|2012|8|5|58|58|49.7|66.5|1087|1194
470|1|2012|9|1|48|77|37.5|47.1|16|17
470|1|2012|9|2|55.5|49|52.2|55.2|46|58
470|1|2012|9|3|60.5|98.5|8.3|18.5|24|27
470|1|2012|9|4|49|99|17|17.9|394|436
470|1|2012|9|5|55|54|50.9|57.7|1048|1201
470|2|2010|10|1|37|7|85.7|87.5|7|8
470|2|2010|10|2|63|5|86.7|84|45|50
470|2|2010|10|3|46|5|82.4|80|17|20
470|2|2010|10|4|44|54|45.6|43.6|364|418
470|2|2010|10|5|52|2|86.1|84.6|1041|1166
470|2|2010|4|1|53.5|40.5|80|72.7|10|11
470|2|2010|4|2|56|41|77.8|67.6|63|71
470|2|2010|4|3|44|44|47.1|66.7|17|21
470|2|2010|4|4|42|52|39.7|33.9|287|506
470|2|2010|4|5|54|35|65.8|76.6|1029|1168
470|2|2010|5|1|46|34|45.5|75|11|12
470|2|2010|5|2|49|30|69.4|73.7|49|57
470|2|2010|5|3|50|43|53.3|63.6|15|22
470|2|2010|5|4|52|58|46.1|41.3|401|460
470|2|2010|5|5|53|31|69.2|81.6|1045|1159
470|2|2010|6|1|62|23.5|83.3|92.9|12|14
470|2|2010|6|2|41.5|35.5|64.3|70.3|56|64
470|2|2010|6|3|64|31|77.8|87.5|27|32
470|2|2010|6|4|47.5|54|46.9|47.8|382|427
470|2|2010|6|5|56|26|73.4|82.5|989|1116
470|2|2010|7|1|55.5|32.5|64.3|50|14|15
470|2|2010|7|2|68.5|30.5|72.9|73.1|48|52
470|2|2010|7|3|58|33|75|61.5|20|26
470|2|2010|7|4|52|53|48.7|42.2|392|450
470|2|2010|7|5|57.5|24|78|80.2|1026|1125
470|2|2010|8|1|44|30|68.8|61.1|16|18
470|2|2010|8|2|56|22|79.2|76.7|53|60
470|2|2010|8|3|42|28|63.6|64|22|26
470|2|2010|8|4|50|53|46|40.7|435|488
470|2|2010|8|5|55|18|79.3|80.3|1108|1228
470|2|2010|9|1|72|38|58.8|60|17|20
