DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|STUDENTGROUP|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1|2011|10|1|50|84|39.5|37.4|762|864
470|1|2011|10|2|45|89|34.2|32.3|711|798
470|1|2011|4|1|51|44|57.3|75.6|812|909
470|1|2011|4|2|49|44|52|74|785|879
470|1|2011|5|1|53|49|54.5|66.3|813|901
470|1|2011|5|2|58|49|57.6|71.5|731|808
470|1|2011|6|1|63|60|56.6|66.8|742|838
470|1|2011|6|2|63|60.5|56.9|66.2|722|814
470|1|2011|7|1|58|65|47.3|60.2|780|868
470|1|2011|7|2|60|65|47.4|61.1|720|799
470|1|2011|8|1|66|73|45.2|53.5|851|946
470|1|2011|8|2|59|73|38.3|50.6|785|873
470|1|2011|9|1|54|78|40.4|44.9|793|930
470|1|2011|9|2|52|82|33.2|41.1|767|915
470|1|2012|10|1|51|79|40|38.1|788|864
470|1|2012|10|2|51|88|38.4|36.4|794|870
470|1|2012|4|1|52|58|44.2|72.8|801|891
470|1|2012|4|2|45|57|39.2|70|796|892
470|1|2012|5|1|56|59|47.2|68|844|946
470|1|2012|5|2|54|59|44|67.8|813|888
470|1|2012|6|1|60.5|63.5|49.5|62.3|814|915
470|1|2012|6|2|63|62|51.4|68.1|747|844
470|1|2012|7|1|53|72|38.1|49.9|767|858
470|1|2012|7|2|59.5|71|42.2|53.7|758|843
470|1|2012|8|1|63|65|50.3|56.8|794|871
470|1|2012|8|2|63|67|51|57.9|737|806
470|1|2012|9|1|55|77|39.2|47.8|836|972
470|1|2012|9|2|54|78|34.3|42.7|779|906
470|1|2013|10|1|50|84|40.6|39.2|844|916
470|1|2013|10|2|47|91|32.4|31.3|789|851
470|1|2013|4|1|43|47|48.3|70.1|865|982
470|1|2013|4|2|47|47|50.1|73.2|808|904
470|1|2013|5|1|53|52|53.7|65.2|825|911
470|1|2013|5|2|54|53|50.3|64.1|827|916
470|1|2013|6|1|55|56|49.4|63.3|872|988
470|1|2013|6|2|60|60|51.1|66.2|824|936
470|1|2013|7|1|58|66|44.2|57.9|838|913
470|1|2013|7|2|58|63|46.3|63.1|769|853
470|1|2013|8|1|56|66|42.1|54.6|787|864
470|1|2013|8|2|55|66|43.4|60.1|785|872
470|1|2013|9|1|54|77|43|48|786|890
470|1|2013|9|2|53|79|39.6|45.8|742|849
470|2|2011|10|1|44|7|70|67.4|763|864
470|2|2011|10|2|57|3|82.6|81.5|711|798
470|2|2011|4|1|49|42|56.1|59.9|716|904
470|2|2011|4|2|53|36|65.8|68.1|690|873
470|2|2011|5|1|53|41|60.4|65.9|797|902
470|2|2011|5|2|52.5|33|65.5|75|724|808
470|2|2011|6|1|52|37|64.4|69.9|744|839
470|2|2011|6|2|55|31|68.3|76.7|722|814
470|2|2011|7|1|54|33|66.1|64.6|781|868
470|2|2011|7|2|58|27|74.3|74.3|719|800
470|2|2011|8|1|50|26|65.5|63.7|851|946
470|2|2011|8|2|57|22|75.2|75.1|783|874
470|2|2011|9|1|47|18|65.9|64.7|787|930
470|2|2011|9|2|52|11.5|73.1|75|767|915
470|2|2012|10|1|47|11|66.7|64.9|786|864
470|2|2012|10|2|61|6|81.7|80.4|793|870
470|2|2012|4|1|47|37|56|64.2|704|890
470|2|2012|4|2|52|36|64.3|67.4|695|887
470|2|2012|5|1|57.5|38|64.3|68.5|842|945
470|2|2012|5|2|55|34|65.5|72.3|809|888
470|2|2012|6|1|53|34|64.4|67.3|814|915
470|2|2012|6|2|58|26|73.4|76.8|745|844
470|2|2012|7|1|54|33|64.5|66.7|768|859
470|2|2012|7|2|66|26|78|77.6|758|843
470|2|2012|8|1|53|29|66.9|65.4|794|871
470|2|2012|8|2|62.5|19|78.5|77.4|738|806
470|2|2012|9|1|50|19|67.4|69.5|835|972
470|2|2012|9|2|61|14|77.7|77.6|777|906
470|2|2013|10|1|42|4|72|71|844|916
470|2|2013|10|2|50|3|83.5|82.9|787|850
470|2|2013|4|1|49|34|60.2|61.8|779|980
470|2|2013|4|2|59|30|70.4|70.2|709|900
