DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1010|M|1|2011|56|71|35.2|47.3|483|525
470|1010|M|2|2011|50|36|58.6|57.7|483|525
470|1010|M|1|2012|57|78|35.1|43.4|444|490
470|1010|M|2|2012|53|43|59.4|54.8|443|489
470|1010|M|1|2013|44|72|25.5|44|447|491
470|1010|M|2|2013|47|43|54.3|53.7|457|503
1040|1053|E|1|2011|57|35|66.2|91.9|148|246
1040|1053|E|2|2011|53|27.5|70.3|88.7|148|247
1040|1053|E|1|2012|53.5|45|65.5|89.4|142|235
1040|1053|E|2|2012|51|27|72.1|91|140|234
1040|1053|E|1|2013|54.5|32|71.5|87.4|130|231
1040|1053|E|2|2013|53|20|82.2|90.4|129|230
2690|1077|E|1|2011|33.5|36|44.2|83.4|120|194
2690|1077|E|2|2011|39|30|65.6|81.2|122|193
2690|1077|E|1|2012|42|54|45.2|84.7|115|209
2690|1077|E|2|2012|35.5|30|59.6|86.1|114|209
2690|1077|E|1|2013|59.5|39|62.9|77.9|140|217
2690|1077|E|2|2013|32|25.5|56.4|82.6|140|218
470|1171|H|1|2011|47|88|24.9|29.1|217|280
470|1171|H|2|2011|44|14|71.9|71.9|217|280
470|1171|H|1|2012|58|80|33.2|38.1|244|292
470|1171|H|2|2012|54|15|76.7|77.7|245|293
470|1171|H|1|2013|41.5|80|38|40.3|274|325
470|1171|H|2|2013|43|6|78.9|79.1|275|325
470|1310|M|1|2011|53.5|67|38.6|51.4|518|553
470|1310|M|2|2011|51|33|64.7|67|521|554
470|1310|M|1|2012|60|71|42.8|55|552|587
470|1310|M|2|2012|59|31|67.1|68.4|550|586
470|1310|M|1|2013|49|66|34.7|53.6|574|616
470|1310|M|2|2013|48|28|64.7|65.2|572|615
1040|1389|E|1|2011|44.5|45.5|53.3|76|120|204
1040|1389|E|2|2011|45|33|57.1|75.9|119|203
1040|1389|E|1|2012|59.5|57.5|53.8|79.2|106|193
1040|1389|E|2|2012|59|35.5|76.4|80.6|106|192
1040|1389|E|1|2013|47|41|54.5|69.3|112|189
1040|1389|E|2|2013|41|25|60.4|73.9|111|188
1040|1430|E|1|2011|50|40|57.5|78.9|134|248
1040|1430|E|2|2011|54|37|63.2|78|133|248
1040|1430|E|1|2012|57.5|54.5|53|76.2|134|252
1040|1430|E|2|2012|49|36|58.5|72.4|135|254
1040|1430|E|1|2013|60|44|66.7|76.5|141|243
1040|1430|E|2|2013|54|36|64.5|67.1|141|243
1040|1492|E|1|2011|64.5|38|73.5|86.4|132|228
1040|1492|E|2|2011|57|27.5|75.8|89|132|228
1040|1492|E|1|2012|66|50|72.1|89.5|147|247
1040|1492|E|2|2012|61|25.5|84.2|90.7|146|247
1040|1492|E|1|2013|54.5|33|68.1|85.4|144|254
1040|1492|E|2|2013|54|22|78.3|90.2|143|254
470|1538|E|1|2011|78.5|47|74.6|82.6|224|265
470|1538|E|2|2011|67|30|79|89|224|263
470|1538|M|2|2011|64.5|17|88.4|88.7|284|328
470|1538|M|1|2011|62.5|45|61.6|76.7|284|327
470|1538|E|1|2012|70|47|70.8|85.8|295|331
470|1538|M|1|2012|71|48|64|74.9|303|340
470|1538|E|2|2012|61|23|83.7|87.9|295|330
470|1538|M|2|2012|67|17|84.9|87.4|304|341
470|1538|M|1|2013|59|42|61.7|79.6|514|570
470|1538|M|2|2013|54|14|82.7|86.8|514|570
2690|1540|E|1|2011|44|36|56.1|79.8|107|178
2690|1540|E|2|2011|46.5|32.5|64.4|77.8|104|178
2690|1540|E|1|2012|53|54|57|82.4|100|159
2690|1540|E|2|2012|49.5|29|69|81.6|100|158
2690|1540|E|1|2013|51|42.5|57.8|73.9|90|142
2690|1540|E|2|2013|35|28|58.4|78.9|89|142
