DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|ETHNICITY|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
470|1010|M|1|2010|1|67|63|66.7|100|3|5|NULL
470|1010|M|1|2010|2|69|67|71.4|62.5|7|8|NULL
470|1010|M|1|2010|3|59|73|27.3|45.5|11|11|NULL
470|1010|M|1|2010|4|53|83|21.4|30.2|187|206|NULL
470|1010|M|1|2010|5|57|62|43.6|58.2|275|295|NULL
470|1010|M|2|2010|4|50|54|44.1|38.5|186|205|NULL
470|1010|M|2|2010|5|49.5|27|67.8|70.5|276|296|NULL
470|1010|M|2|2010|1|73|28|66.7|75|3|5|NULL
470|1010|M|2|2010|2|65|59|57.1|50|7|8|NULL
470|1010|M|2|2010|3|34|28|72.7|72.7|11|11|NULL
470|1010|M|2|2011|4|56|66|46.6|34.1|191|208|NULL
470|1010|M|1|2011|3|13|68|0|50|5|6|NULL
470|1010|M|1|2011|4|50.5|88|21.4|26.3|192|209|NULL
470|1010|M|1|2011|5|60.5|68|44.8|54.9|230|255|NULL
470|1010|M|1|2011|1|68.5|35|75|70|8|11|NULL
470|1010|M|2|2011|5|52.5|25.5|69.1|70.9|230|255|NULL
470|1010|M|2|2011|1|54|16.5|87.5|70|8|11|NULL
470|1010|M|2|2011|2|28|27|66.7|55.6|9|9|NULL
470|1010|M|2|2011|3|45|51|40|66.7|5|6|NULL
470|1010|M|1|2011|2|60|54|66.7|77.8|9|9|NULL
470|1010|M|1|2012|3|44|60|28.6|62.5|7|8|NULL
470|1010|M|1|2012|4|47|82.5|16.8|27.6|202|221|NULL
470|1010|M|1|2012|5|42.5|64|31.8|56|220|243|NULL
470|1010|M|1|2012|1|57|51|50|62.5|8|8|NULL
470|1010|M|1|2012|2|40.5|55|40|81.8|10|11|NULL
470|1010|M|2|2012|1|41.5|15|62.5|62.5|8|8|NULL
470|1010|M|2|2012|2|46|27.5|70|72.7|10|11|NULL
470|1010|M|2|2012|3|52|29|71.4|75|7|8|NULL
470|1010|M|2|2012|4|49|61|39.8|37.2|211|231|NULL
470|1010|M|2|2012|5|46|23|66.5|67.3|221|245|NULL
1040|1053|E|1|2010|2|72|27|100|100|7|9|NULL
1040|1053|E|1|2010|3|51|50|60|66.7|5|9|NULL
1040|1053|E|1|2010|4|45|47|45.5|80|11|15|NULL
1040|1053|E|1|2010|5|57|34|66.4|93.4|125|212|NULL
1040|1053|E|2|2010|5|56.5|26.5|73|90.1|126|213|NULL
1040|1053|E|2|2010|2|72|23|85.7|100|7|9|NULL
1040|1053|E|2|2010|3|29|36.5|25|55.6|4|9|NULL
1040|1053|E|2|2010|4|26|43|45.5|80|11|15|NULL
1040|1053|E|1|2011|1|42|25|100|100|1|1|NULL
1040|1053|E|1|2011|2|41|37|83.3|90|6|10|NULL
1040|1053|E|1|2011|3|69|71|60|63.6|5|11|NULL
1040|1053|E|1|2011|4|45.5|51|25|72.7|8|11|NULL
