DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|GRADE|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1010|M|1|2010|6|46|62|39.7|57.4|151|163
470|1010|M|1|2010|7|49|69|36.8|45.9|155|174
470|1010|M|1|2010|8|65|88|29.9|39.9|177|188
470|1010|M|2|2010|8|55.5|29|66.5|61.5|176|187
470|1010|M|2|2010|6|42|44|50.3|56.4|151|164
470|1010|M|2|2010|7|46.5|35.5|57.7|54.9|156|174
470|1010|M|1|2011|7|52|81.5|32.4|37.1|142|159
470|1010|M|1|2011|6|59|69|35.9|50.3|142|159
470|1010|M|2|2011|6|51|50.5|51.4|54.4|142|160
470|1010|M|1|2011|8|60.5|84|36.9|42.7|160|172
470|1010|M|2|2011|8|54.5|36.5|65|57.3|160|172
470|1010|M|2|2011|7|53|43|61|52.6|141|157
470|1010|M|1|2012|7|38|76|20.6|40.7|155|167
470|1010|M|1|2012|8|48|74|26.2|45.3|141|159
470|1010|M|1|2012|6|47|67|29.8|46.1|151|165
470|1010|M|2|2012|6|46|49.5|54.4|53.2|158|173
470|1010|M|2|2012|7|43|42|47.8|51.5|157|169
470|1010|M|2|2012|8|50|34|61.3|56.5|142|161
1040|1053|E|1|2010|4|69|35|79.1|96.2|67|78
1040|1053|E|1|2010|5|47|34|55.6|88.2|81|85
1040|1053|E|2|2010|4|62|32|80.6|89.9|67|79
1040|1053|E|2|2010|5|43|24|61.7|81.4|81|86
1040|1053|E|2|2011|4|63|29|85.5|92.4|69|79
1040|1053|E|2|2011|5|36|24.5|59.2|90.4|71|84
1040|1053|E|1|2011|4|70.5|50.5|72.9|88.8|70|80
1040|1053|E|1|2011|5|44.5|39|58.3|91.7|72|84
1040|1053|E|1|2012|4|63|34|74.6|91.4|59|70
1040|1053|E|1|2012|5|44|29|69|81.5|71|81
1040|1053|E|2|2012|4|65|28|82.8|88.4|58|69
1040|1053|E|2|2012|5|49|16|81.7|90.1|71|81
2690|1077|E|1|2010|4|34.5|37|50|92.6|48|54
2690|1077|E|1|2010|5|32.5|35.5|40.3|76.3|72|76
2690|1077|E|2|2010|4|39|33|66|75.9|50|54
2690|1077|E|2|2010|5|39.5|28|65.3|76.3|72|76
2690|1077|E|2|2011|4|31.5|30|51.7|87.1|60|70
2690|1077|E|2|2011|5|41.5|30|68.5|83.3|54|60
2690|1077|E|1|2011|4|54|51|49.2|88.6|61|70
2690|1077|E|1|2011|5|38.5|59|40.7|74.6|54|59
2690|1077|E|1|2012|4|69|40|86.3|90.9|73|77
2690|1077|E|1|2012|5|36|39|37.3|63.4|67|71
2690|1077|E|2|2012|4|35.5|24|59.7|77.9|72|77
2690|1077|E|2|2012|5|28|27|52.9|80.6|68|72
470|1171|H|1|2010|10|41.5|94|22.6|23.2|124|156
470|1171|H|1|2010|9|55|83|28|36.6|93|124
470|1171|H|2|2010|10|41.5|9|73.4|72.7|124|155
470|1171|H|2|2010|9|45|19|69.9|71|93|125
470|1171|H|2|2011|10|51|10|76|73.9|121|138
470|1171|H|2|2011|9|61|20.5|77.4|81.2|124|155
470|1171|H|1|2011|10|49.5|92|28.3|25.5|120|137
470|1171|H|1|2011|9|64|77|37.9|49.4|124|155
470|1171|H|1|2012|10|35.5|90|31.2|30.1|144|163
470|1171|H|1|2012|9|51.5|66|45.4|50.6|130|162
470|1171|H|2|2012|10|38|4|80|79.1|145|163
470|1171|H|2|2012|9|48|11|77.7|79|130|162
470|1310|M|1|2010|6|57|60|50.3|62.3|193|204
470|1310|M|1|2010|7|59|72|39.2|50|181|194
470|1310|M|1|2010|8|43|76|22.2|38.6|144|155
470|1310|M|2|2010|8|46|28|66.7|65.2|144|155
470|1310|M|2|2010|6|49.5|33|62.9|71.1|194|204
470|1310|M|2|2010|7|56|38|65|64.1|183|195
470|1310|M|1|2011|7|61|73|43.8|49.8|185|201
470|1310|M|1|2011|6|51|63|40.5|64.5|190|203
470|1310|M|2|2011|6|58|32|67.7|71.8|189|202
470|1310|M|1|2011|8|68|79|44.1|50.3|177|183
470|1310|M|2|2011|8|52|33|61.6|62.3|177|183
470|1310|M|2|2011|7|65|29|71.7|70.6|184|201
470|1310|M|1|2012|7|56|66|42.2|57.8|185|204
470|1310|M|1|2012|8|56|69|40.4|56.1|188|196
470|1310|M|1|2012|6|38|61|22.4|47.2|201|216
470|1310|M|2|2012|6|50|42|54.8|58.1|199|215
470|1310|M|2|2012|7|52|24|70.8|67.6|185|204
470|1310|M|2|2012|8|44|19|69.1|70.4|188|196
1040|1389|E|1|2010|4|41|42|45.5|65.6|55|64
1040|1389|E|1|2010|5|48|47|60|79.7|65|79
1040|1389|E|2|2010|4|42|38|53.7|71.9|54|64
1040|1389|E|2|2010|5|49|31|60|79.7|65|79
1040|1389|E|2|2011|4|54|37|79.6|80|49|65
1040|1389|E|2|2011|5|61|33|73.7|77.5|57|72
1040|1389|E|1|2011|4|46|56|40.8|76.9|49|65
1040|1389|E|1|2011|5|75|60|64.9|77.5|57|72
1040|1389|E|1|2012|4|39|39|42.9|78.9|49|57
1040|1389|E|1|2012|5|57|43|63.5|70.8|63|72
1040|1389|E|2|2012|4|48.5|28|56.2|80.7|48|57
1040|1389|E|2|2012|5|34|21|63.5|74.6|63|71
1040|1430|E|1|2010|4|51|41|57.1|80|70|86
1040|1430|E|1|2010|5|48.5|40|57.8|73.3|64|75
1040|1430|E|2|2010|4|53.5|37|64.3|74.1|70|86
1040|1430|E|2|2010|5|56|37.5|61.9|77|63|75
1040|1430|E|2|2011|4|46.5|41.5|46.7|57.3|60|75
1040|1430|E|2|2011|5|51|28|68|79.5|75|83
1040|1430|E|1|2011|4|40.5|53|46.7|77.3|60|75
1040|1430|E|1|2011|5|60|56|58.1|75.6|74|82
1040|1430|E|1|2012|4|52.5|44|66.7|79.3|78|92
1040|1430|E|1|2012|5|67|44|66.7|74|63|73
1040|1430|E|2|2012|4|48|35|57.7|68.5|78|92
1040|1430|E|2|2012|5|63|38|73|67.1|63|73
