DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|STUDENTGROUP|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
470|1010|M|1|2011|1|55|71|32.7|44.7|251|275|NULL
470|1010|M|1|2011|2|58.5|71|37.9|50.2|232|250|NULL
470|1010|M|1|2011|3|58|62|44.8|60.6|290|303|NULL
470|1010|M|1|2011|4|55|83|20.7|29.1|193|222|NULL
470|1010|M|2|2011|7|50|34|60.7|60.7|456|490|NULL
470|1010|M|2|2011|8|31|80.5|22.2|14.7|27|35|NULL
470|1010|M|2|2011|1|43|42.5|53.8|52.4|251|275|NULL
470|1010|M|2|2011|2|55|31.5|63.8|63.6|232|250|NULL
470|1010|M|2|2011|3|53|27|70.3|72.5|290|303|NULL
470|1010|M|2|2011|4|47|57|40.9|37.6|193|222|NULL
470|1010|M|1|2011|12|53|33|68.6|96.7|121|121|NULL
470|1010|M|1|2011|7|58|69|36.6|49.7|456|490|NULL
470|1010|M|1|2011|8|30|96|11.1|12.1|27|35|NULL
470|1010|M|2|2011|9|48|40|56.3|55|449|491|NULL
470|1010|M|2|2011|10|65|9|88.2|97.1|34|34|NULL
470|1010|M|1|2011|9|56|73|31.4|43.9|449|491|NULL
470|1010|M|1|2011|10|56.5|24|85.3|97.1|34|34|NULL
470|1010|M|2|2011|6|50.5|63.5|37|24.6|108|114|NULL
470|1010|M|1|2011|6|56|84|18.3|27.8|109|115|NULL
470|1010|M|1|2011|5|57|67|40.1|52.8|374|410|NULL
470|1010|M|2|2011|12|51|12|86.8|99.2|121|121|NULL
470|1010|M|1|2011|11|51|96|8.3|3.3|121|122|NULL
470|1010|M|2|2011|5|49|29|64.8|67|375|411|NULL
470|1010|M|2|2011|11|47|77|24|3.3|121|121|NULL
470|1010|M|1|2012|8|25|95|6.5|7.9|31|38|NULL
470|1010|M|1|2012|4|51|88|23.4|29|218|248|NULL
470|1010|M|1|2012|7|60|76|37.3|46.3|413|452|NULL
470|1010|M|2|2012|5|53|32|65.5|64.2|322|360|NULL
470|1010|M|2|2012|3|52.5|24|70.4|74.2|226|241|NULL
470|1010|M|1|2012|3|61.5|66|46.5|58.1|226|242|NULL
470|1010|M|1|2012|9|58|81|32|40.3|419|465|NULL
470|1010|M|2|2012|6|55|69|43|28.7|121|129|NULL
470|1010|M|2|2012|9|53|45.5|57.4|52.4|418|464|NULL
470|1010|M|2|2012|4|54|65|47.9|36|217|248|NULL
470|1010|M|1|2012|6|58|89|20.5|26.9|122|130|NULL
470|1010|M|1|2012|10|55|13|88|100|25|25|NULL
470|1010|M|2|2012|12|51.5|10|89.3|100|112|112|NULL
470|1010|M|1|2012|11|58|97|6.1|3.5|114|115|NULL
470|1010|M|2|2012|10|45|8|92|100|25|25|NULL
470|1010|M|1|2012|2|59|75|38.6|46.9|207|228|NULL
470|1010|M|2|2012|1|48|49.5|50|47.9|236|261|NULL
470|1010|M|2|2012|2|57|35|70|62.7|207|228|NULL
470|1010|M|1|2012|12|55.5|28|82.1|100|112|112|NULL
470|1010|M|2|2012|8|35|74.5|18.8|8.1|32|38|NULL
470|1010|M|1|2012|1|55|81|32.1|40.2|237|262|NULL
470|1010|M|2|2012|11|57|80|30.6|3.6|111|112|NULL
470|1010|M|1|2012|5|56.5|70|40.7|49.3|322|360|NULL
470|1010|M|2|2012|7|54|40|62.5|58.7|411|451|NULL
470|1010|M|2|2013|4|45.5|59|41.7|40.2|266|296|NULL
470|1010|M|1|2013|9|44|75|23|40.9|421|465|NULL
470|1010|M|1|2013|3|45|60|34.4|58.5|189|205|NULL
470|1010|M|2|2013|3|49|21|71.7|72.9|191|207|NULL
470|1010|M|2|2013|10|44.5|7.5|84.6|100|26|26|NULL
470|1010|M|1|2013|10|44|22|65.4|100|26|26|NULL
470|1010|M|2|2013|1|49|48|51.4|49.6|243|270|NULL
470|1010|M|1|2013|8|34.5|96|7.1|8.2|42|49|NULL
470|1010|M|2|2013|9|47|47|52.4|51.2|431|477|NULL
470|1010|M|1|2013|2|41|69|24.6|47|211|230|NULL
470|1010|M|1|2013|7|45|68|27.4|48|405|442|NULL
470|1010|M|2|2013|11|50|83|20|6.8|115|118|NULL
470|1010|M|1|2013|4|43.5|80.5|19|33.6|258|286|NULL
470|1010|M|1|2013|6|48.5|81.5|16.4|29.3|140|147|NULL
470|1010|M|1|2013|1|46.5|73|26.3|41.4|236|261|NULL
470|1010|M|2|2013|7|49|38|58.6|58.3|413|451|NULL
470|1010|M|2|2013|2|46|37|57.5|58.4|214|233|NULL
470|1010|M|1|2013|5|42|67|29.6|50.3|307|344|NULL
470|1010|M|1|2013|11|54|97|3.5|0|114|116|NULL
470|1010|M|1|2013|12|38|28|54|98.2|113|114|NULL
470|1010|M|2|2013|5|46|31|62|62.2|308|347|NULL
470|1010|M|2|2013|12|45|10|89.6|100|115|116|NULL
470|1010|M|2|2013|6|50|67|38.3|34.6|149|156|NULL
470|1010|M|2|2013|8|29|84|13.6|13.5|44|52|NULL
1040|1053|E|2|2011|12|58|14|94.6|100|37|37|NULL
1040|1053|E|1|2011|4|69.5|40.5|75|73.3|8|15|NULL
1040|1053|E|1|2011|3|54|34|65.7|93.1|140|231|NULL
1040|1053|E|1|2011|12|52|20|78.4|100|37|37|NULL
1040|1053|E|2|2011|5|53|27|70.7|89|147|245|NULL
1040|1053|E|1|2011|8|57|42|57.9|66.7|19|24|NULL
1040|1053|E|2|2011|4|74|49|70|64.7|10|17|NULL
1040|1053|E|1|2011|2|66.5|36|63.6|94.1|66|118|NULL
1040|1053|E|1|2011|9|51|37|59.5|90.3|121|207|NULL
1040|1053|E|1|2011|10|74|23|96.3|100|27|39|NULL
1040|1053|E|1|2011|1|52|34|68.3|89.8|82|128|NULL
1040|1053|E|1|2011|11|52|54|55.3|68.4|38|38|NULL
1040|1053|E|2|2011|1|50.5|30.5|63.4|82.2|82|129|NULL
1040|1053|E|2|2011|2|60.5|24|78.8|95.8|66|118|NULL
1040|1053|E|2|2011|6|10|38|0|50|1|2|NULL
1040|1053|E|2|2011|3|52.5|26|70.3|90.4|138|230|NULL
1040|1053|E|2|2011|10|67|14|100|100|27|40|NULL
1040|1053|E|2|2011|8|49|46|47.4|60|19|25|NULL
1040|1053|E|1|2011|7|57|34|67.4|94.6|129|222|NULL
1040|1053|E|2|2011|9|50|32|63.6|86.5|121|207|NULL
1040|1053|E|2|2011|11|51.5|53|47.4|50|38|38|NULL
1040|1053|E|2|2011|7|53|25|73.6|91.9|129|222|NULL
1040|1053|E|1|2011|6|65|27|100|100|1|2|NULL
1040|1053|E|1|2011|5|57|35|66|91.8|147|244|NULL
1040|1053|E|1|2012|4|45|59|28.6|55.6|7|18|NULL
