DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|TEACHER_USID|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1010|M|101006101|1|2010|40|66|34.3|54.3|35|35
470|1010|M|101008104|1|2010|68|83|38.5|41.5|39|41
470|1010|M|101007103|1|2010|48|73.5|35.3|43.2|34|38
470|1010|M|101006102|1|2010|53|68|40.6|56.2|32|33
470|1010|M|101008105|1|2010|74|94|37.5|41.9|40|43
470|1010|M|101007104|1|2010|51|71|24.3|44.2|37|44
470|1010|M|101006103|1|2010|44|63|41.9|50|31|34
470|1010|M|101008106|1|2010|60|81|25.7|39.5|35|38
470|1010|M|101007105|1|2010|51.5|59|45.5|52.1|44|48
470|1010|M|101006104|1|2010|43.5|60|36.1|59|36|39
470|1010|M|101008107|1|2010|65|95|24.3|30.8|37|39
470|1010|M|101007106|1|2010|54|61|43.2|57.1|37|43
470|1010|M|101006105|1|2010|46|58|42.2|59.2|45|49
470|1010|M|101007205|2|2010|51|35|65.1|51|43|50
470|1010|M|101007201|2|2010|39|39|51.5|52.6|33|39
470|1010|M|101006106|1|2010|41|59|33.3|52.2|42|46
470|1010|M|101007206|2|2010|51|31.5|60.5|66.7|38|39
470|1010|M|101007202|2|2010|41.5|41|54.5|50|44|48
470|1010|M|101006201|2|2010|39|49|48.6|51.3|37|39
470|1010|M|101008101|1|2010|64.5|73.5|40.6|48.5|32|33
470|1010|M|101007203|2|2010|52.5|31.5|61.1|67.6|36|37
470|1010|M|101006202|2|2010|49|45|54.8|63.6|42|45
470|1010|M|101008102|1|2010|65.5|89.5|21.9|37.1|32|35
470|1010|M|101007204|2|2010|47|40.5|61.8|63.2|34|38
470|1010|M|101006203|2|2010|39|49|45.5|44.4|33|36
470|1010|M|101008103|1|2010|63|92.5|27.8|37.8|36|37
470|1010|M|101007102|1|2010|48|72|41.7|43.9|36|41
470|1010|M|101006204|2|2010|34.5|35.5|43.8|54.9|48|51
470|1010|M|101008202|2|2010|60|26.5|70.6|66.7|34|36
470|1010|M|101006206|2|2010|53|54.5|51.7|36.7|29|31
470|1010|M|101006205|2|2010|39|37|42.9|60.5|35|38
470|1010|M|101008203|2|2010|58|47|45.7|48.7|35|39
470|1010|M|101007101|1|2010|35|67|24.1|50|29|31
470|1010|M|101008205|2|2010|50|35|51.7|50|29|30
470|1010|M|101008204|2|2010|55.5|29.5|71.4|63.8|42|47
470|1010|M|101008207|2|2010|55|26.5|73.5|71.4|34|35
470|1010|M|101008206|2|2010|50|29|78.8|69.4|33|36
470|1010|M|101008201|2|2010|45|30|64.1|58.5|39|41
470|1010|M|101006106|1|2011|44|66|31.4|42.1|35|38
470|1010|M|101006202|2|2011|45|58|43.6|42.9|39|42
470|1010|M|101006201|2|2011|34|58.5|31.2|42.9|32|35
470|1010|M|101006204|2|2011|54.5|37|66.7|74|42|50
470|1010|M|101008104|1|2011|52|82|36.6|44.2|41|43
470|1010|M|101006105|1|2011|67|80|33.3|40|24|30
470|1010|M|101006205|2|2011|42|65|43.5|30.8|23|26
470|1010|M|101008105|1|2011|62|89|32.6|34.1|43|44
470|1010|M|101007104|1|2011|66|70|48|50|25|28
470|1010|M|101006206|2|2011|56|45|56.8|57.1|37|42
470|1010|M|101008106|1|2011|59|72|45.7|52.5|35|40
470|1010|M|101007105|1|2011|40|84|30.3|33.3|33|36
470|1010|M|101007101|1|2011|55|86|29|32.4|31|37
470|1010|M|101006203|2|2011|59|40|64|60.7|25|28
470|1010|M|101007106|1|2011|55|87.5|23.8|29.2|42|48
470|1010|M|101007102|1|2011|57|76|40.5|44.7|37|38
470|1010|M|101006101|1|2011|59|70|36.6|43.9|41|41
470|1010|M|101007201|2|2011|59.5|35|56.2|54.3|32|35
470|1010|M|101007103|1|2011|52|78|29.3|38.6|41|44
470|1010|M|101006102|1|2011|62|81|30.3|50|33|38
470|1010|M|101007202|2|2011|49|53|63.6|48.6|33|36
470|1010|M|101008203|2|2011|53|40|67.4|60.9|43|46
470|1010|M|101006103|1|2011|62|69|41.9|52.1|43|48
470|1010|M|101007203|2|2011|54|40|62.2|56.4|37|39
470|1010|M|101008204|2|2011|57|44|64.3|53.5|42|43
470|1010|M|101006104|1|2011|44.5|67|33.3|54.3|30|35
470|1010|M|101007204|2|2011|48|40|56.8|57.1|37|42
470|1010|M|101008205|2|2011|54|26|74.2|63.6|31|34
470|1010|M|101008103|1|2011|60|92|29.3|40.9|41|44
470|1010|M|101007205|2|2011|59|55|65.9|52.3|41|44
470|1010|M|101008206|2|2011|53.5|35.5|65.9|53.2|44|47
470|1010|M|101008202|2|2011|60|22|75|70.3|32|37
470|1010|M|101007206|2|2011|68|57|66.7|43.8|27|32
470|1010|M|101008201|2|2011|49|41|60|54.1|35|38
