DISTRICT_NUMBER|CONTENT_AREA|YEAR|ETHNICITY|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
470|1|2011|1|60|61.5|45.5|56.6|88|114|NULL
470|1|2011|2|65|47|66.2|74.3|364|488|NULL
470|1|2011|3|53|68|31.6|47.8|133|182|NULL
470|1|2011|4|52|77|28.2|36.8|2856|3706|NULL
470|1|2011|5|57|51|53.9|67.7|7333|9383|NULL
470|1|2012|1|61|70|40.2|55.6|97|134|NULL
470|1|2012|2|66|51|59.9|74.4|377|478|NULL
470|1|2012|3|52|73|25.2|50.3|131|183|NULL
470|1|2012|4|49|84|22.2|36.3|2917|3769|NULL
470|1|2012|5|58|57|51.2|67.6|7546|9613|NULL
470|1|2013|1|42|65|33|49.2|97|124|NULL
470|1|2013|2|65|38|64.5|76.6|409|546|NULL
470|1|2013|3|53|67.5|35.8|47.6|134|187|NULL
470|1|2013|4|48|79|24|36|3031|3924|NULL
470|1|2013|5|55|50|53.2|68.2|7690|9848|NULL
470|2|2011|1|56|33|67.8|69.1|87|111|NULL
470|2|2011|2|57|27|74.4|75.9|363|488|NULL
470|2|2011|3|51.5|32|67.2|67|134|183|NULL
470|2|2011|4|48|54|45.2|42.2|2649|3500|NULL
470|2|2011|5|54|22|76|81.2|7322|9383|NULL
470|2|2012|1|51.5|25|62.5|69.2|96|134|NULL
470|2|2012|2|64.5|25|79.8|79.6|376|478|NULL
470|2|2012|3|56.5|35.5|61.4|70.7|132|184|NULL
470|2|2012|4|52|57|46|43.7|2721|3564|NULL
470|2|2012|5|56|21|77.3|81.4|7533|9621|NULL
470|2|2013|1|49|21|67|69.4|97|124|NULL
470|2|2013|2|63|18|81.2|82.3|409|548|NULL
470|2|2013|3|52|25|66.7|73|135|189|NULL
470|2|2013|4|49|53|48.5|45.3|2854|3724|NULL
470|2|2013|5|53|17|78|82|7695|9862|NULL
1040|1|2011|1|55|62.5|41.2|60.2|80|113|NULL
1040|1|2011|2|60|37|63.1|79.6|491|624|NULL
1040|1|2011|3|46|70|30.8|49.3|367|530|NULL
1040|1|2011|4|52|60|40.9|57.9|694|983|NULL
1040|1|2011|5|56|47|54.6|72.7|8186|10570|NULL
1040|1|2012|1|48.5|68|34.6|56.6|78|106|NULL
1040|1|2012|2|59|38|67.1|80.7|489|662|NULL
1040|1|2012|3|48|72|28.5|45.8|386|524|NULL
1040|1|2012|4|46|65|32.9|53.6|754|1018|NULL
1040|1|2012|5|54|51|52.2|71.9|8251|10644|NULL
1040|1|2013|1|54|65|39|55.2|77|105|NULL
1040|1|2013|2|59|33|65|81.2|503|696|NULL
1040|1|2013|3|55|72|32.8|46.8|363|539|NULL
1040|1|2013|4|52|64|41.1|55.9|764|1100|NULL
1040|1|2013|5|55|45|55.9|72.9|8331|10697|NULL
1040|2|2011|1|61|29|69.6|72.8|79|114|NULL
1040|2|2011|2|58|20|80.9|87.5|488|625|NULL
1040|2|2011|3|52|32|64.5|71.4|361|527|NULL
1040|2|2011|4|49|29|69.4|76.5|687|983|NULL
1040|2|2011|5|55|18|81.5|87.8|8171|10557|NULL
1040|2|2012|1|58|24|68.8|76.2|77|105|NULL
1040|2|2012|2|56|17|82.8|87.6|482|662|NULL
1040|2|2012|3|46.5|32|63.9|67.5|380|522|NULL
1040|2|2012|4|48|28|68.1|74.4|745|1013|NULL
1040|2|2012|5|52|17|80.2|87.2|8223|10637|NULL
1040|2|2013|1|58|21|74|76|77|104|NULL
1040|2|2013|2|54|13|83.3|87.6|502|694|NULL
1040|2|2013|3|50|30|68.3|68.1|363|540|NULL
1040|2|2013|4|50|23|70.3|73.6|755|1092|NULL
1040|2|2013|5|54|14|82.5|87.3|8305|10686|NULL
2690|1|2011|1|42|71|23.3|41.5|90|131|NULL
2690|1|2011|2|55.5|44|50|64.6|38|65|NULL
2690|1|2011|3|35.5|71|19.9|36.2|206|296|NULL
2690|1|2011|4|32|69|20.1|40.5|4689|6205|NULL
2690|1|2011|5|38|59|31|52.7|2703|3633|NULL
2690|1|2012|1|35|81|20.2|35.9|89|135|NULL
2690|1|2012|2|45|63|45.1|61|51|77|NULL
2690|1|2012|3|39|80|21.4|35|215|300|NULL
2690|1|2012|4|36|77|18.8|38.4|4778|6421|NULL
2690|1|2012|5|42|69|28.1|50.3|2638|3563|NULL
2690|1|2013|1|28|76.5|24.2|33|66|100|NULL
2690|1|2013|2|68|47|57.7|67.6|52|74|NULL
2690|1|2013|3|38.5|78.5|18.9|33.3|228|297|NULL
2690|1|2013|4|38|74|22.2|39.9|4845|6253|NULL
2690|1|2013|5|41|65|30.8|50.7|2581|3463|NULL
2690|2|2011|1|38.5|37|54.4|58.1|90|131|NULL
2690|2|2011|2|68|26|67.6|74.6|37|65|NULL
2690|2|2011|3|35.5|37.5|49|54|206|296|NULL
2690|2|2011|4|37|41|47.7|57.5|4680|6199|NULL
2690|2|2011|5|43|28|64.8|73.2|2693|3628|NULL
2690|2|2012|1|36|39|47.2|53.4|89|138|NULL
2690|2|2012|2|45|24|64.7|70.7|51|76|NULL
2690|2|2012|3|41.5|39|52.3|53.9|214|300|NULL
2690|2|2012|4|38|41|46.8|55.8|4778|6402|NULL
2690|2|2012|5|40|27|62|72.3|2634|3563|NULL
2690|2|2013|1|34|33|49.2|57|65|100|NULL
2690|2|2013|2|60|22|72.5|77.3|51|75|NULL
2690|2|2013|3|42|35|55.6|57.7|225|293|NULL
2690|2|2013|4|40|37|52.4|58.2|4834|6231|NULL
2690|2|2013|5|43.5|23|64.8|73.5|2574|3452|NULL
