DISTRICT_NUMBER|CONTENT_AREA|YEAR|STUDENTGROUP|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
470|1|2011|1|57|59|48.7|59.9|5553|7131|NULL
470|1|2011|2|55|60|45.6|58.8|5221|6742|NULL
470|1|2012|1|56|64|44.1|59.2|5644|7249|NULL
470|1|2012|2|56|64|42.8|59|5424|6928|NULL
470|1|2013|1|53|58|46|59.2|5817|7471|NULL
470|1|2013|2|53|61|44.9|59.7|5544|7158|NULL
470|2|2011|1|50|32|64.1|66.4|5439|7028|NULL
470|2|2011|2|55|25|72.2|75.3|5116|6637|NULL
470|2|2012|1|52|32|64.4|67.3|5543|7161|NULL
470|2|2012|2|60|25|74.2|75.8|5315|6820|NULL
470|2|2013|1|50|27|66.6|68.5|5736|7384|NULL
470|2|2013|2|54|20|74.3|76.3|5454|7063|NULL
1040|1|2011|1|56|46|55.7|72.3|5089|6638|NULL
1040|1|2011|2|55|51|50.2|69.2|4729|6182|NULL
1040|1|2012|1|54|50|53.6|72.3|5146|6672|NULL
1040|1|2012|2|52|56|47|67.1|4812|6282|NULL
1040|1|2013|1|55|44|55.6|71.9|5160|6747|NULL
1040|1|2013|2|55|51|52.8|69.4|4878|6390|NULL
1040|2|2011|1|54|22|77.1|83.7|5069|6630|NULL
1040|2|2011|2|56|17|83|88.8|4717|6176|NULL
1040|2|2012|1|47|20|75|82.7|5108|6664|NULL
1040|2|2012|2|57|17|82.7|88.2|4799|6275|NULL
1040|2|2013|1|51|17|78.6|82.8|5140|6732|NULL
1040|2|2013|2|55|13|83.7|87.9|4862|6384|NULL
2690|1|2011|1|34|65|25|45.9|3927|5331|NULL
2690|1|2011|2|35|67|23.2|43.8|3799|4999|NULL
2690|1|2012|1|39|74|23.9|43.7|3986|5423|NULL
2690|1|2012|2|37|76|20.5|41.3|3785|5073|NULL
2690|1|2013|1|39|70|26.8|44.9|3955|5207|NULL
2690|1|2013|2|39|73|23.6|42.1|3817|4980|NULL
2690|2|2011|1|38|38|51.2|59.6|3914|5326|NULL
2690|2|2011|2|40|33|56.7|66.6|3792|4993|NULL
2690|2|2012|1|34.5|38|48.2|57|3972|5410|NULL
2690|2|2012|2|42|34|56.4|66.1|3794|5069|NULL
