DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1010|M|1|2011|47.3|35.2|484|1.26|525|1.58
470|1010|M|2|2011|57.7|58.6|484|1.27|525|1.59
470|1010|M|1|2012|43.4|35.1|444|1.38|490|1.73
470|1010|M|2|2012|54.8|59.4|443|1.32|489|1.65
470|1010|M|1|2013|44|25.5|447|1.35|491|1.69
470|1010|M|2|2013|53.7|54.3|457|1.32|503|1.66
1040|1053|E|1|2011|91.9|66.2|148|2.3|246|2.88
1040|1053|E|2|2011|88.7|70.3|148|2.39|247|3
1040|1053|E|1|2012|89.4|65.5|142|2.34|235|2.94
1040|1053|E|2|2012|91|72.1|141|2.44|234|3.06
1040|1053|E|1|2013|87.4|71.5|130|2.29|231|2.86
1040|1053|E|2|2013|90.4|82.2|129|2.45|230|3.07
2690|1077|E|1|2011|83.4|44.2|120|2.44|194|3.06
2690|1077|E|2|2011|81.2|65.6|122|2.59|193|3.24
2690|1077|E|1|2012|84.7|45.2|115|2.8|209|3.5
2690|1077|E|2|2012|86.1|59.6|114|2.59|209|3.25
2690|1077|E|1|2013|77.9|62.9|140|2.53|217|3.17
2690|1077|E|2|2013|82.6|56.4|140|2.23|218|2.79
470|1171|H|1|2011|29.1|24.9|219|1.88|280|2.36
470|1171|H|2|2011|71.9|71.9|219|2.01|280|2.52
470|1171|H|1|2012|38.1|33.2|244|1.8|292|2.25
470|1171|H|2|2012|77.7|76.7|245|1.78|293|2.23
470|1171|H|1|2013|40.3|38|274|1.74|325|2.18
470|1171|H|2|2013|79.1|78.9|275|1.81|325|2.26
470|1310|M|1|2011|51.4|38.6|518|1.24|553|1.55
470|1310|M|2|2011|67|64.7|521|1.2|554|1.51
470|1310|M|1|2012|55|42.8|552|1.17|587|1.46
470|1310|M|2|2012|68.4|67.1|550|1.22|586|1.53
470|1310|M|1|2013|53.6|34.7|574|1.14|616|1.43
470|1310|M|2|2013|65.2|64.7|572|1.11|615|1.4
1040|1389|E|1|2011|76|53.3|120|2.48|204|3.11
1040|1389|E|2|2011|75.9|57.1|119|2.49|203|3.12
1040|1389|E|1|2012|79.2|53.8|106|2.67|193|3.35
1040|1389|E|2|2012|80.6|76.4|106|2.78|192|3.49
1040|1389|E|1|2013|69.3|54.5|112|2.77|189|3.47
1040|1389|E|2|2013|73.9|60.4|111|2.58|188|3.23
1040|1430|E|1|2011|78.9|57.5|135|2.45|248|3.07
1040|1430|E|2|2011|78|63.2|135|2.44|248|3.06
1040|1430|E|1|2012|76.2|53|134|2.34|252|2.93
1040|1430|E|2|2012|72.4|58.5|135|2.62|254|3.29
1040|1430|E|1|2013|76.5|66.7|141|2.16|243|2.71
1040|1430|E|2|2013|67.1|64.5|141|2.27|243|2.85
1040|1492|E|1|2011|86.4|73.5|132|2.35|228|2.95
1040|1492|E|2|2011|89|75.8|132|2.49|228|3.12
1040|1492|E|1|2012|89.5|72.1|147|2.24|247|2.8
1040|1492|E|2|2012|90.7|84.2|146|2.34|247|2.93
1040|1492|E|1|2013|85.4|68.1|144|2.51|254|3.15
1040|1492|E|2|2013|90.2|78.3|143|2.44|254|3.06
470|1538|E|1|2011|82.6|74.6|224|1.8|265|2.26
470|1538|E|2|2011|89|79|224|1.99|263|2.49
470|1538|M|2|2011|88.7|88.4|286|1.55|328|1.94
470|1538|M|1|2011|76.7|61.6|285|1.62|327|2.03
470|1538|E|1|2012|85.8|70.8|295|1.51|331|1.9
470|1538|M|1|2012|74.9|64|303|1.6|340|2
470|1538|E|2|2012|87.9|83.7|295|1.55|330|1.94
470|1538|M|2|2012|87.4|84.9|304|1.61|341|2.02
470|1538|M|1|2013|79.6|61.7|514|1.21|570|1.52
470|1538|M|2|2013|86.8|82.7|514|1.25|570|1.57
2690|1540|E|1|2011|79.8|56.1|107|2.78|178|3.49
2690|1540|E|2|2011|77.8|64.4|106|2.82|178|3.54
2690|1540|E|1|2012|82.4|57|100|2.63|159|3.3
2690|1540|E|2|2012|81.6|69|100|2.94|158|3.68
